기간	자치구	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)
기간	자치구	공원	공원	도시공원	도시공원	생활권 공원	생활권 공원
기간	자치구	면적	1인당공원면적	면적	1인당도시공원면적	면적	1인당생활권공원면적
2018	서울시	168,843.3	16.8	115,463.6	11.5	56,848.8	5.7
2018	종로구	11,555.8	70.9	6,432.5	39.5	3,053.6	18.7
2018	중구	3,132.0	23.1	3,082.4	22.7	1,458.7	10.8
2018	용산구	1,795.6	7.3	781.7	3.2	1,658.7	6.8
2018	성동구	3,102.1	9.8	1,260.7	4	2,980.4	9.4
2018	광진구	3,363.0	9.1	2,916.4	7.9	1,237.9	3.3
2018	동대문구	1,275.8	3.5	1,033.7	2.8	1,197.1	3.3
2018	중랑구	5,206.3	12.8	5,023.7	12.3	1,726.2	4.2
2018	성북구	8,342.4	18.6	4,420.0	9.9	2,209.9	4.9
2018	강북구	14,346.7	44.4	2,291.8	7.1	2,147.8	6.7
2018	도봉구	10,075.3	29.5	1,163.8	3.4	1,319.8	3.9
2018	노원구	14,337.7	26.2	13,850.2	25.3	3,054.6	5.6
2018	은평구	13,997.9	28.7	6,228.9	12.8	1,253.9	2.6
2018	서대문구	5,136.1	15.9	4,898.2	15.2	1,664.4	5.2
2018	마포구	4,439.9	11.5	3,126.7	8.1	4,315.4	11.2
2018	양천구	2,909.8	6.2	2,487.3	5.3	1,886.6	4
2018	강서구	4,329.3	7.2	3,244.9	5.4	4,225.5	7
2018	구로구	3,327.7	7.6	3,005.9	6.9	1,431.1	3.3
2018	금천구	2,206.2	8.7	2,042.2	8	406.2	1.6
2018	영등포구	3,091.1	7.7	746.1	1.8	2,969.0	7.4
2018	동작구	4,585.4	11.2	4,391.3	10.7	3,128.7	7.6
2018	관악구	10,977.1	21.1	10,970.6	21.1	1,282.7	2.5
2018	서초구	16,036.3	36.6	15,230.5	34.8	2,443.8	5.6
2018	강남구	6,591.7	12	5,302.0	9.7	3,565.4	6.5
2018	송파구	4,642.1	6.9	2,034.2	3	4,274.7	6.3
2018	강동구	3,370.0	7.8	2,827.7	6.5	1,956.6	4.5
2018	서울대공원	6,670.0	-	6,670.0	-	-	-
