기간	자치구	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)
기간	자치구	공원	공원	도시공원	도시공원	생활권 공원	생활권 공원
기간	자치구	면적	1인당공원면적	면적	1인당도시공원면적	면적	1인당생활권공원면적
2016	서울시	168,203.9	16.5	114,989.5	11.3	55,294.0	5.4
2016	종로구	11,567.4	71.4	6,442.5	39.8	3,052.4	18.9
2016	중구	3,132.0	23.3	3,082.4	22.9	1,453.7	10.8
2016	용산구	1,794.1	7.3	781.7	3.2	1,654.2	6.7
2016	성동구	3,095.0	10.1	1,253.6	4.1	2,966.0	9.7
2016	광진구	3,359.2	9	2,913.1	7.8	1,234.4	3.3
2016	동대문구	1,277.2	3.4	1,035.1	2.8	1,192.5	3.2
2016	중랑구	5,211.9	12.5	5,029.2	12.1	1,723.8	4.1
2016	성북구	8,393.0	18.2	4,470.6	9.7	2,195.2	4.8
2016	강북구	14,337.6	43.4	2,280.2	6.9	2,145.1	6.5
2016	도봉구	10,083.8	28.8	1,166.0	3.3	1,276.3	3.6
2016	노원구	14,168.9	24.8	13,852.1	24.3	2,625.3	4.6
2016	은평구	13,999.6	28.2	6,229.9	12.6	1,253.5	2.5
2016	서대문구	5,135.3	15.8	4,900.4	15	1,636.3	5
2016	마포구	4,439.3	11.4	3,126.1	8	4,209.0	10.8
2016	양천구	2,909.8	6	2,487.3	5.2	1,886.6	3.9
2016	강서구	4,329.1	7.2	3,244.7	5.4	3,665.6	6.1
2016	구로구	3,157.0	7	2,835.1	6.3	1,337.9	3
2016	금천구	2,205.2	8.7	2,041.2	8	404.1	1.6
2016	영등포구	3,095.1	7.6	748.6	1.8	2,964.5	7.3
2016	동작구	4,585.6	11.1	4,391.6	10.6	3,123.8	7.6
2016	관악구	10,975.7	20.9	10,969.2	20.9	1,282.7	2.4
2016	서초구	15,874.5	35.2	15,071.1	33.4	2,282.0	5.1
2016	강남구	6,598.0	11.5	5,308.4	9.3	3,571.8	6.2
2016	송파구	4,424.8	6.7	1,816.8	2.7	4,186.2	6.3
2016	강동구	3,384.6	7.3	2,842.4	6.1	1,971.2	4.3
2016	서울대공원	6,670.0	-	6,670.0	-	-	-
