기간	자치구	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)
기간	자치구	공원	공원	도시공원	도시공원	생활권 공원	생활권 공원
기간	자치구	면적	1인당공원면적	면적	1인당도시공원면적	면적	1인당생활권공원면적
2019	서울시	168,896.8	16.9	115,481.0	11.5	57,113.6	5.7
2019	종로구	11,556.1	71.4	6,433.0	39.7	3,056.4	18.9
2019	중구	3,155.1	23.1	3,082.7	22.6	1,482.4	10.9
2019	용산구	1,779.6	7.3	763.1	3.1	1,661.2	6.8
2019	성동구	3,100.0	10	1,257.1	4.1	2,986.0	9.7
2019	광진구	3,363.5	9.2	2,916.4	7.9	1,238.3	3.4
2019	동대문구	1,275.1	3.5	1,033.0	2.8	1,199.6	3.3
2019	중랑구	5,205.3	12.9	5,022.6	12.5	1,725.1	4.3
2019	성북구	8,329.4	18.3	4,407.0	9.7	2,225.9	4.9
2019	강북구	14,342.3	45.1	2,287.4	7.2	2,155.1	6.8
2019	도봉구	10,075.0	30	1,163.5	3.5	1,319.8	3.9
2019	노원구	14,344.4	26.7	13,848.1	25.8	3,061.6	5.7
2019	은평구	13,991.6	28.9	6,223.4	12.8	1,265.8	2.6
2019	서대문구	5,143.3	15.9	4,904.8	15.2	1,672.7	5.2
2019	마포구	4,440.0	11.5	3,126.9	8.1	4,321.7	11.2
2019	양천구	2,912.0	6.3	2,489.5	5.4	1,891.8	4.1
2019	강서구	4,370.3	7.3	3,285.9	5.5	4,239.0	7.1
2019	구로구	3,336.1	7.6	3,014.4	6.9	1,441.8	3.3
2019	금천구	2,206.2	8.8	2,042.2	8.1	406.2	1.6
2019	영등포구	3,050.4	7.6	705.6	1.8	2,975.3	7.4
2019	동작구	4,584.2	11.2	4,390.2	10.7	3,128.0	7.6
2019	관악구	10,976.9	21.2	10,970.4	21.2	1,287.0	2.5
2019	서초구	16,081.0	37	15,274.2	35.1	2,446.8	5.6
2019	강남구	6,594.3	12	5,304.7	9.6	3,566.1	6.5
2019	송파구	4,644.8	6.8	2,037.6	3	4,278.4	6.3
2019	강동구	3,369.8	7.7	2,827.5	6.4	2,081.5	4.7
2019	서울대공원	6,670.0	-	6,670.0	-	-	-
